,compute_version,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,registers,smem,cmem,number_of_lines_kernel,occupancy
1253,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,103.845291,256.0,256.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1252,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,94.415015,248.0,248.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1251,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,85.562982,240.0,240.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1250,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,75.993807,232.0,232.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1249,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,69.540279,224.0,224.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1248,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,61.345488,216.0,216.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1258,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,0.488571,40.0,40.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1271,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,22.636537,144.0,144.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1272,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,26.614206,152.0,152.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1273,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,31.039838,160.0,160.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1296,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,4.066882,88.0,88.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1295,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,3.055614,80.0,80.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1294,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,2.230504,72.0,72.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1293,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,1.565586,64.0,64.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1292,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,1.05075,56.0,56.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1291,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.662789,48.0,48.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1290,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.385752,40.0,40.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1289,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.19752,32.0,32.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1288,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.084101,24.0,24.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1287,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.026623,16.0,16.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1286,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.00400607,8.0,8.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1285,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,127.147428,256.0,256.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1284,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,115.597026,248.0,248.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1283,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,104.742912,240.0,240.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1282,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,94.612986,232.0,232.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1281,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,85.186952,224.0,224.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1280,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,76.362554,216.0,216.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1279,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,68.189019,208.0,208.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1278,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,60.626719,200.0,200.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1277,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,53.639768,192.0,192.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1276,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,47.19628,184.0,184.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1275,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,41.319855,176.0,176.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1274,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,35.934269,168.0,168.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1247,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,54.766108,208.0,208.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1297,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,5.280922,96.0,96.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1246,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,48.686466,200.0,200.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1244,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,37.910395,184.0,184.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1216,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,2.423514,176.0,176.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1215,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,1.818897,160.0,160.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1214,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,1.336934,144.0,144.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1213,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.960625,128.0,128.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1212,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.66296,112.0,112.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1211,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.448018,96.0,96.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1210,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.276467,80.0,80.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1209,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.14844,64.0,64.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1208,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.062717,48.0,48.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1207,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.018778,32.0,32.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1217,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,3.125314,192.0,192.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1206,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.002475935,16.0,16.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1204,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,47.092938,496.0,496.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1203,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,42.693317,480.0,480.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1202,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,38.566729,464.0,464.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1201,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,34.679002,448.0,448.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1200,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,31.098046,432.0,432.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1199,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,27.762598,416.0,416.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1198,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,24.469656,400.0,400.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1197,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,21.500768,384.0,384.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1196,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,18.923041,368.0,368.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1195,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,16.556894,352.0,352.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1205,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,51.824797,512.0,512.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1218,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,3.936816,208.0,208.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1219,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,4.918555,224.0,224.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1220,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,6.003707,240.0,240.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1243,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,33.167952,176.0,176.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1242,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,28.853693,168.0,168.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1241,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,24.920614,160.0,160.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1240,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,21.364093,152.0,152.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1239,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,18.170198,144.0,144.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1238,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,15.305509,136.0,136.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1237,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,12.761046,128.0,128.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1236,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,10.515142,120.0,120.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1235,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,8.549465,112.0,112.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1234,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,6.846016,104.0,104.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1233,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,5.387891,96.0,96.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1232,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,4.149508,88.0,88.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1231,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,3.119486,80.0,80.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1230,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,2.314599,72.0,72.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1229,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,1.626277,64.0,64.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1228,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,1.072764,56.0,56.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1227,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.676865,48.0,48.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1226,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.391232,40.0,40.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1225,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.201706,32.0,32.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1224,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.086445,24.0,24.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1223,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.026089,16.0,16.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1222,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.003651678,8.0,8.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1221,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,7.281564,256.0,256.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1245,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,43.064132,192.0,192.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1194,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,14.39448,336.0,336.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1298,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,6.70932,104.0,104.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1300,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,10.307393,120.0,120.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5479,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.235463,48.0,48.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5480,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.378957,56.0,56.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5481,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.501741,64.0,64.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5482,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.824764,72.0,72.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5483,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,1.107239,80.0,80.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5484,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,1.443797,88.0,88.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5485,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,1.840353,96.0,96.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5486,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,2.414924,104.0,104.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5487,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,2.972525,112.0,112.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5488,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,3.931746,120.0,120.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5478,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.14882,40.0,40.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5489,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,4.188629,128.0,128.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5491,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,6.600589,144.0,144.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5492,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,7.96386,152.0,152.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5493,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,9.34344,160.0,160.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5494,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,10.873107,168.0,168.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5495,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,12.43978,176.0,176.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5496,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,14.451626,184.0,184.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5498,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,20.143037,200.0,200.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5499,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,22.811863,208.0,208.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5500,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,28.403784,216.0,216.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5501,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,31.072889,224.0,224.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5490,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,5.787222,136.0,136.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5477,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.07001,32.0,32.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5476,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.033293,24.0,24.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5475,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.008743384,16.0,16.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5452,5.2,7.0,1076.0,1664.0,1.75,256.0,3505.0,224.32,4.0,13.0,128.0,3580928.0,1.0,1.553137,88.0,88.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5453,5.2,7.0,1076.0,1664.0,1.75,256.0,3505.0,224.32,4.0,13.0,128.0,3580928.0,1.0,2.006939,96.0,96.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5454,5.2,7.0,1076.0,1664.0,1.75,256.0,3505.0,224.32,4.0,13.0,128.0,3580928.0,1.0,2.567438,104.0,104.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
